"Step","iTypeC","fCtr_A","fCtr_B","fCtr_C","fCtr_D","fCtr_E","fCtr_H_On","fCtr_S_On","fCtr_L_On","fCtr_H_Off","fCtr_S_Off","fCtr_L_Off","iTypeS","fStrb_A","fStrb_B","fStrb_C","fStrb_D","fStrb_E","lPattern","fStrb_H_On","fStrb_S_On","fStrb_L_On","fStrb_H_Off","fStrb_S_Off","fStrb_L_Off","lSeqTime","Total time","Tot Sec","Hours","Minutes","Seconds"
32,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
33,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
34,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
35,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
36,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
37,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,5.33,5.33,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,
38,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,6.33,6.33,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,220000.00,,,,,
39,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,8.75,8.75,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,
40,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,4.75,4.75,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,20000.00,,,,,
41,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.16,9.16,0.65,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,20000.00,,,,,
42,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,5.20,5.20,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,
43,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,20000.00,,,,,
44,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,5.20,5.20,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,
45,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.10,0.10,0.15,0.00,120000.00,,,,,
46,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.05,0.10,0.15,0.00,10000.00,,,,,
47,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,11.12,11.12,0.45,0.45,0.00,0.00,0.10,0.15,0.01,0.10,0.15,0.00,10000.00,,,,,
48,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,4.00,4.00,0.10,0.10,0.00,0.00,0.10,0.15,0.00,0.10,0.15,0.00,20000.00,,,,,
49,2.00,0.17,0.17,0.30,0.02,0.00,0.60,1.00,0.01,0.60,1.00,0.01,2.00,4.00,4.00,0.10,0.10,0.00,0.00,0.10,0.15,0.00,0.10,0.15,0.00,10000.00,,,,,
